tweet,label,emotion,misinformation,topic,language
My elderly mother fainted at vaccination center due to heat,negative,Anger,Genuine,General Vaccination,English
Vaccination drive started in our district today as per schedule,neutral,Neutral,Genuine,General Vaccination,English
Cowin portal made vaccine registration very easy and accessible,positive,Trust,Genuine,General Vaccination,English
"Thanks to vaccination drive in India, polio is now eradicated",positive,Happiness,Genuine,General Vaccination,English
Why are private hospitals charging so much for vaccines,negative,Anxiety,Genuine,Healthcare trust,English
Research paper on vaccine effectiveness published by ICMR scientists,neutral,Neutral,Genuine,General Vaccination,English
New guidelines on vaccine administration for pregnant women issued,neutral,Neutral,Genuine,Government policy,English
"Got vaccinated today at local PHC, process was smooth and quick",positive,Trust,Genuine,General Vaccination,English
Pulse Polio campaign is a massive success story for India,positive,Trust,Genuine,Awareness campaigns,English
Forced vaccination is against personal freedom and human rights,negative,Anger,Genuine,General Vaccination,English
Vaccine cold chain management review conducted by ICMR team,neutral,Neutral,Genuine,General Vaccination,Code-mixed
"Cowin website keeps crashing, very frustrating experience",negative,Fear,Genuine,General Vaccination,English
Free vaccination for BPL families is an excellent government step,positive,Trust,Genuine,Government policy,English
Why is booster dose needed so soon after full vaccination,negative,Anxiety,Genuine,Booster dose,English
My parents trusted science and got vaccinated without hesitation,positive,Trust,Genuine,General Vaccination,English
Covaxin made in India is a matter of national pride,positive,Happiness,Genuine,General Vaccination,English
"Thanks to vaccination drive in India, polio is now eradicated",positive,Happiness,Genuine,General Vaccination,English
Government announced new vaccine registration guidelines today,neutral,Neutral,Genuine,Government policy,English
Health ministry clarified guidelines on vaccine mixing protocols,neutral,Neutral,Genuine,Government policy,English
Getting vaccinated is a social responsibility we all must fulfil,positive,Trust,Genuine,General Vaccination,English
"Science has given us vaccines, let us use them wisely",positive,Trust,Genuine,General Vaccination,English
National immunization week observed across India with campaigns,neutral,Neutral,Genuine,Awareness campaigns,English
National immunization week observed across India with campaigns,neutral,Neutral,Genuine,Awareness campaigns,English
"My grandmother got vaccinated at 80, she feels protected now",positive,Trust,Genuine,General Vaccination,English
CoWIN app updated with new features for vaccine certificate download,neutral,Neutral,Genuine,General Vaccination,English
"Thanks to vaccination drive in India, polio is now eradicated",positive,Happiness,Genuine,General Vaccination,English
"Got vaccinated today at local PHC, process was smooth and quick",positive,Trust,Genuine,General Vaccination,English
Vaccination camps organized by RWA in our colony was very helpful,positive,Happiness,Genuine,General Vaccination,English
Vaccine rollout was poorly planned in our municipality,negative,Fear,Genuine,General Vaccination,English
CoWIN app updated with new features for vaccine certificate download,neutral,Neutral,Genuine,General Vaccination,English
"Some batches of vaccines were found to be contaminated, scary",negative,Anger,Genuine,General Vaccination,English
Vaccination numbers released by state government for last month,neutral,Neutral,Genuine,Government policy,English
Children vaccines causing autism is a genuine concern for parents,negative,Fear,Fake,Conspiracy theories,English
Forced vaccination is against personal freedom and human rights,negative,Anger,Genuine,General Vaccination,English
Healthcare infrastructure for vaccine rollout is completely inadequate,negative,Anxiety,Genuine,Healthcare trust,English
The speed of India's vaccine rollout is amazing and inspiring,positive,Trust,Genuine,General Vaccination,English
Doctors attending seminar on latest vaccine developments today,neutral,Neutral,Genuine,Healthcare trust,English
Children vaccines causing autism is a genuine concern for parents,negative,Fear,Fake,Conspiracy theories,English
Vaccine education programs in schools should be encouraged more,positive,Happiness,Genuine,General Vaccination,English
Government announced new vaccine registration guidelines today,neutral,Neutral,Genuine,Government policy,English
"Got vaccinated today at local PHC, process was smooth and quick",positive,Trust,Genuine,General Vaccination,English
Vaccine drives by Indian government are truly commendable,positive,Happiness,Genuine,Government policy,English
"My arm swelled badly after vaccination, doctor was not available",negative,Anxiety,Genuine,Healthcare trust,English
Government reviewing vaccine pricing structure for private sector,neutral,Neutral,Genuine,Government policy,English
Why are some vaccine batches giving different reactions to people,negative,Anxiety,Genuine,Side effects,English
Vaccines have helped India control second wave effectively,positive,Trust,Genuine,General Vaccination,English
Black market for vaccines is proof the system is deeply broken,negative,Fear,Genuine,General Vaccination,English
No proper follow-up system after vaccination for monitoring,negative,Fear,Genuine,General Vaccination,English
Pulse Polio campaign is a massive success story for India,positive,Trust,Genuine,Awareness campaigns,English
Health ministry released new data on vaccine distribution numbers,neutral,Neutral,Genuine,General Vaccination,English
Children are now safer thanks to childhood immunization programs,positive,Trust,Genuine,General Vaccination,English
"Heard so many bad stories about vaccine reactions, I am worried",negative,Anger,Misleading,Side effects,English
Corporate companies profiting too much from pandemic vaccines,negative,Anger,Genuine,General Vaccination,English
Nationwide survey on vaccine awareness to be conducted in January,neutral,Neutral,Genuine,Awareness campaigns,English
Why is there no proper information about vaccine ingredients given,negative,Anxiety,Genuine,General Vaccination,English
Precautionary dose now available at government hospitals nearby,neutral,Neutral,Genuine,Government policy,English
I lost trust in vaccines after reading about Thalidomide scandal,negative,Fear,Genuine,General Vaccination,English
Vaccine protects not just you but also elderly people around you,positive,Trust,Genuine,General Vaccination,English
"Took both doses of Covishield, side effects were mild and temporary",positive,Happiness,Genuine,Side effects,English
"Took vaccine, mild fever for one day, totally worth it for safety",positive,Happiness,Genuine,Side effects,English
Covaxin made in India is a matter of national pride,positive,Trust,Genuine,General Vaccination,English
Why should I trust a vaccine made in just one year of research,negative,Fear,Genuine,General Vaccination,English
Government hospitals to stock new batch of vaccines from next week,neutral,Neutral,Genuine,Government policy,English
Rich countries hoarding vaccines while poor countries suffer,negative,Anger,Genuine,General Vaccination,English
Vaccine procurement process under review by parliamentary committee,neutral,Neutral,Genuine,General Vaccination,English
Children vaccines causing autism is a genuine concern for parents,negative,Anger,Fake,Conspiracy theories,English
Healthcare infrastructure for vaccine rollout is completely inadequate,negative,Anxiety,Genuine,Healthcare trust,English
Vaccine certificate now linked with DigiLocker for easy access,neutral,Neutral,Genuine,General Vaccination,English
Vaccine procurement committee meeting held by central government,neutral,Neutral,Genuine,Government policy,English
Black market for vaccines is proof the system is deeply broken,negative,Anger,Genuine,General Vaccination,English
Vaccination data being analyzed to understand coverage patterns,neutral,Neutral,Genuine,General Vaccination,English
"Took vaccine, mild fever for one day, totally worth it for safety",positive,Trust,Genuine,Side effects,English
Frontline workers vaccinated first was the right priority decision,positive,Happiness,Genuine,General Vaccination,English
Rural areas have no proper cold storage for vaccine distribution,negative,Anger,Genuine,General Vaccination,English
Health ministry clarified guidelines on vaccine mixing protocols,neutral,Neutral,Genuine,Government policy,English
India's Jan Aushadhi and vaccination scheme helping poor families,positive,Happiness,Genuine,General Vaccination,English
Digital vaccine certificate from Cowin is very convenient,positive,Happiness,Genuine,General Vaccination,English
Black market for vaccines is proof the system is deeply broken,negative,Anger,Genuine,General Vaccination,English
I lost trust in vaccines after reading about Thalidomide scandal,negative,Fear,Genuine,General Vaccination,English
Government issued advisory on vaccine storage temperature requirements,neutral,Neutral,Genuine,Government policy,English
District health officer reviewed vaccination progress this week,neutral,Neutral,Genuine,General Vaccination,English
Mobile vaccination units deployed in urban slums this week,neutral,Neutral,Genuine,General Vaccination,English
New vaccination center opened near railway station from Monday,neutral,Neutral,Genuine,General Vaccination,English
Government data on vaccine side effects is not transparent enough,negative,Fear,Genuine,Side effects,English
Vaccine awareness drive launched in schools by health department,neutral,Neutral,Genuine,Awareness campaigns,English
Vaccine procurement committee meeting held by central government,neutral,Neutral,Genuine,Government policy,English
Vaccine shortage in our district is creating panic and frustration,negative,Anxiety,Genuine,General Vaccination,English
NTAGI meeting held to discuss updated vaccine schedule protocol,neutral,Neutral,Genuine,General Vaccination,English
Parliamentary debate on national vaccine policy scheduled next week,neutral,Neutral,Genuine,Government policy,English
Long waiting time at vaccination center is a big problem,negative,Anxiety,Genuine,General Vaccination,English
Vaccine manufacturing capacity in India increased by thirty percent,neutral,Neutral,Genuine,General Vaccination,English
BCG vaccine has saved millions of lives in India since decades,positive,Happiness,Genuine,General Vaccination,English
Too much political interference in vaccine approval process,negative,Anger,Genuine,General Vaccination,English
Vaccine rollout was poorly planned in our municipality,negative,Anxiety,Genuine,General Vaccination,English
Two doses done! I can now breathe easier in crowded places,positive,Trust,Genuine,General Vaccination,English
No compensation system for vaccine injury victims in India,negative,Anxiety,Genuine,General Vaccination,English
Vaccine cold chain management review conducted by ICMR team,neutral,Neutral,Genuine,General Vaccination,Code-mixed
NTAGI meeting held to discuss updated vaccine schedule protocol,neutral,Neutral,Genuine,General Vaccination,English
Vaccine adverse event reporting system updated with new features,neutral,Neutral,Genuine,General Vaccination,English
BCG vaccine has saved millions of lives in India since decades,positive,Happiness,Genuine,General Vaccination,English
Why is there no proper information about vaccine ingredients given,negative,Anger,Genuine,General Vaccination,English
The speed of India's vaccine rollout is amazing and inspiring,positive,Trust,Genuine,General Vaccination,English
NTAGI meeting held to discuss updated vaccine schedule protocol,neutral,Neutral,Genuine,General Vaccination,English
Vaccination data being analyzed to understand coverage patterns,neutral,Neutral,Genuine,General Vaccination,English
Vaccine cold chain management review conducted by ICMR team,neutral,Neutral,Genuine,General Vaccination,Code-mixed
Trust deficit in government health programs is a real problem,negative,Fear,Genuine,Government policy,English
Rural areas have no proper cold storage for vaccine distribution,negative,Anxiety,Genuine,General Vaccination,English
WHO released updated guidelines on COVID vaccine booster doses,neutral,Neutral,Genuine,Booster dose,English
"India achieved 1 billion vaccine doses milestone, historic moment",positive,Happiness,Genuine,General Vaccination,English
Health ministry clarified guidelines on vaccine mixing protocols,neutral,Neutral,Genuine,Government policy,English
Annual immunization schedule released by health department today,neutral,Neutral,Genuine,General Vaccination,English
Doctors attending seminar on latest vaccine developments today,neutral,Neutral,Genuine,Healthcare trust,English
"India achieved 1 billion vaccine doses milestone, historic moment",positive,Trust,Genuine,General Vaccination,English
Government hospitals to stock new batch of vaccines from next week,neutral,Neutral,Genuine,Government policy,English
Vaccine queue at government hospital was chaotic and mismanaged,negative,Anger,Genuine,Government policy,English
India's Jan Aushadhi and vaccination scheme helping poor families,positive,Happiness,Genuine,General Vaccination,English
New vaccination center opened near railway station from Monday,neutral,Neutral,Genuine,General Vaccination,English
I lost trust in vaccines after reading about Thalidomide scandal,negative,Anger,Genuine,General Vaccination,English
"Vaccine efficacy drops over time, what is the point then",negative,Fear,Genuine,General Vaccination,English
Survey on vaccine hesitancy conducted by university researchers,neutral,Neutral,Genuine,General Vaccination,English
Covaxin made in India is a matter of national pride,positive,Happiness,Genuine,General Vaccination,English
"Got vaccinated today at local PHC, process was smooth and quick",positive,Happiness,Genuine,General Vaccination,English
Vaccine adverse event reporting system updated with new features,neutral,Neutral,Genuine,General Vaccination,English
Annual immunization schedule released by health department today,neutral,Neutral,Genuine,General Vaccination,English
Vaccine supply chain audit underway in northern states this month,neutral,Neutral,Genuine,General Vaccination,Code-mixed
Community health workers doing great job promoting vaccination,positive,Trust,Genuine,General Vaccination,English
"My grandmother got vaccinated at 80, she feels protected now",positive,Happiness,Genuine,General Vaccination,English
New mRNA vaccine technology being studied by Indian researchers,neutral,Neutral,Genuine,General Vaccination,English
Frontline workers vaccinated first was the right priority decision,positive,Happiness,Genuine,General Vaccination,English
Nationwide survey on vaccine awareness to be conducted in January,neutral,Neutral,Genuine,Awareness campaigns,English
"Got vaccinated at age 65, doctor said it is very important",positive,Happiness,Genuine,Healthcare trust,English
India's vaccination rate has improved drastically this year,positive,Happiness,Genuine,General Vaccination,English
Academic study on vaccine acceptance patterns among rural youth,neutral,Neutral,Genuine,General Vaccination,English
Government announced new vaccine registration guidelines today,neutral,Neutral,Genuine,Government policy,English
Vaccine hesitancy is reducing gradually in Indian villages,positive,Trust,Genuine,General Vaccination,English
International health organizations monitoring India vaccine rollout,neutral,Neutral,Genuine,General Vaccination,English
BCG vaccine has saved millions of lives in India since decades,positive,Trust,Genuine,General Vaccination,English
"My arm swelled badly after vaccination, doctor was not available",negative,Anxiety,Genuine,Healthcare trust,English
"Took vaccine, mild fever for one day, totally worth it for safety",positive,Trust,Genuine,Side effects,English
Survey on vaccine hesitancy conducted by university researchers,neutral,Neutral,Genuine,General Vaccination,English
"Vaccine efficacy drops over time, what is the point then",negative,Anger,Genuine,General Vaccination,English
Government hospitals to stock new batch of vaccines from next week,neutral,Neutral,Genuine,Government policy,English
Free vaccination camps in rural areas is a great initiative,positive,Happiness,Genuine,General Vaccination,English
State government compiled quarterly report on vaccination coverage,neutral,Neutral,Genuine,Government policy,English
"I developed fever and body pain after second dose, very unwell",negative,Anger,Genuine,Side effects,English
Vaccines save lives and protect our families from deadly diseases,positive,Trust,Genuine,General Vaccination,English
Vaccine education programs in schools should be encouraged more,positive,Happiness,Genuine,General Vaccination,English
Vaccine procurement committee meeting held by central government,neutral,Neutral,Genuine,Government policy,English
Vaccine rollout was poorly planned in our municipality,negative,Anxiety,Genuine,General Vaccination,English
NTAGI meeting held to discuss updated vaccine schedule protocol,neutral,Neutral,Genuine,General Vaccination,English
Vaccine distribution in remote villages is really impressive,positive,Trust,Genuine,General Vaccination,English
Booster dose important for elderly and immunocompromised people,positive,Trust,Genuine,Booster dose,English
Vaccine data from third world countries is not taken seriously,negative,Anger,Genuine,General Vaccination,English
Frontline workers vaccinated first was the right priority decision,positive,Trust,Genuine,General Vaccination,English
"I developed fever and body pain after second dose, very unwell",negative,Anxiety,Genuine,Side effects,English
Health department organized orientation for new vaccination workers,neutral,Neutral,Genuine,General Vaccination,English
Vaccination camps organized by RWA in our colony was very helpful,positive,Happiness,Genuine,General Vaccination,English
Why is there still no transparency about clinical trial data,negative,Anger,Genuine,General Vaccination,English
Academic study on vaccine acceptance patterns among rural youth,neutral,Neutral,Genuine,General Vaccination,English
New vaccine for rotavirus included in national immunization program,neutral,Neutral,Genuine,General Vaccination,English
Forced vaccination is against personal freedom and human rights,negative,Anxiety,Genuine,General Vaccination,English
WHO released updated guidelines on COVID vaccine booster doses,neutral,Neutral,Genuine,Booster dose,English
Vaccine mandate is oppressive and violates individual rights,negative,Fear,Genuine,General Vaccination,English
Why is there still no transparency about clinical trial data,negative,Fear,Genuine,General Vaccination,English
Vaccine education programs in schools should be encouraged more,positive,Happiness,Genuine,General Vaccination,English
New guidelines on vaccine administration for pregnant women issued,neutral,Neutral,Genuine,Government policy,English
Vaccine adverse event reporting system updated with new features,neutral,Neutral,Genuine,General Vaccination,English
Survey on vaccine hesitancy conducted by university researchers,neutral,Neutral,Genuine,General Vaccination,English
"Science has given us vaccines, let us use them wisely",positive,Happiness,Genuine,General Vaccination,English
Why are private hospitals charging so much for vaccines,negative,Anxiety,Genuine,Healthcare trust,English
Fake vaccine certificates being sold openly is a serious issue,negative,Anxiety,Fake,Conspiracy theories,English
"Got my flu vaccine, highly recommend everyone to do the same",positive,Trust,Genuine,General Vaccination,English
The whole vaccine drive feels like a political gimmick to me,negative,Anger,Genuine,General Vaccination,English
Vaccine manufacturing capacity in India increased by thirty percent,neutral,Neutral,Genuine,General Vaccination,English
Vaccine creates antibodies that protect us from serious illness,positive,Happiness,Genuine,General Vaccination,English
"Took vaccine, mild fever for one day, totally worth it for safety",positive,Trust,Genuine,Side effects,English
Serum Institute to produce additional doses for export programs,neutral,Neutral,Genuine,General Vaccination,English
Academic study on vaccine acceptance patterns among rural youth,neutral,Neutral,Genuine,General Vaccination,English
Cowin portal made vaccine registration very easy and accessible,positive,Happiness,Genuine,General Vaccination,English
"Heard that some vaccines cause blood clots, this is very dangerous",negative,Anger,Fake,Conspiracy theories,English
Vaccination records can now be downloaded via Aarogya Setu app,neutral,Neutral,Genuine,General Vaccination,English
Long waiting time at vaccination center is a big problem,negative,Anger,Genuine,General Vaccination,English
Vaccination records can now be downloaded via Aarogya Setu app,neutral,Neutral,Genuine,General Vaccination,English
Vaccine logistics management discussed in inter-ministerial meeting,neutral,Neutral,Genuine,General Vaccination,English
Why should I trust a vaccine made in just one year of research,negative,Anger,Genuine,General Vaccination,English
"Vaccine efficacy drops over time, what is the point then",negative,Anger,Genuine,General Vaccination,English
Vaccine cold chain management review conducted by ICMR team,neutral,Neutral,Genuine,General Vaccination,Code-mixed
Vaccine drives by Indian government are truly commendable,positive,Trust,Genuine,Government policy,English
The whole vaccine drive feels like a political gimmick to me,negative,Anxiety,Genuine,General Vaccination,English
Government data on vaccine side effects is not transparent enough,negative,Anger,Genuine,Side effects,English
Government announced new vaccine registration guidelines today,neutral,Neutral,Genuine,Government policy,English
Vaccination data privacy concerns are completely ignored by authorities,negative,Fear,Genuine,General Vaccination,English
"I developed fever and body pain after second dose, very unwell",negative,Anxiety,Genuine,Side effects,English
Corporate companies profiting too much from pandemic vaccines,negative,Fear,Genuine,General Vaccination,English
"India's COVAXIN got WHO EUL approval, this is great news",positive,Happiness,Genuine,General Vaccination,English
Vaccines have helped India control second wave effectively,positive,Happiness,Genuine,General Vaccination,English
Survey on vaccine hesitancy conducted by university researchers,neutral,Neutral,Genuine,General Vaccination,English
Vaccine distribution in remote villages is really impressive,positive,Happiness,Genuine,General Vaccination,English
Vaccination camp organized by local NGO in tribal belt area,neutral,Neutral,Genuine,General Vaccination,English
"India achieved 1 billion vaccine doses milestone, historic moment",positive,Happiness,Genuine,General Vaccination,English
Vaccine mandate is oppressive and violates individual rights,negative,Fear,Genuine,General Vaccination,English
Serum Institute to produce additional doses for export programs,neutral,Neutral,Genuine,General Vaccination,English
"Doctor explained vaccine benefits clearly, I am fully convinced",positive,Happiness,Genuine,Healthcare trust,English
Getting vaccinated is a social responsibility we all must fulfil,positive,Happiness,Genuine,General Vaccination,English
Free vaccination for BPL families is an excellent government step,positive,Trust,Genuine,Government policy,English
Vaccine nationalism is preventing global herd immunity from forming,negative,Fear,Genuine,General Vaccination,English
Vaccination data being analyzed to understand coverage patterns,neutral,Neutral,Genuine,General Vaccination,English
New vaccination center opened near railway station from Monday,neutral,Neutral,Genuine,General Vaccination,English
Side effects from vaccine affected my work for three days,negative,Anger,Genuine,Side effects,English
Health ministry clarified guidelines on vaccine mixing protocols,neutral,Neutral,Genuine,Government policy,English
The vaccine distribution is very unequal between rich and poor areas,negative,Fear,Genuine,General Vaccination,English
Fake vaccine certificates being sold openly is a serious issue,negative,Anxiety,Fake,Conspiracy theories,English
Vaccine adverse event reporting system updated with new features,neutral,Neutral,Genuine,General Vaccination,English
I lost trust in vaccines after reading about Thalidomide scandal,negative,Anger,Genuine,General Vaccination,English
Forced vaccination is against personal freedom and human rights,negative,Anxiety,Genuine,General Vaccination,English
People in my village refused vaccine due to wrong information,negative,Fear,Genuine,General Vaccination,English
Cowin portal made vaccine registration very easy and accessible,positive,Trust,Genuine,General Vaccination,English
Vaccination data being analyzed to understand coverage patterns,neutral,Neutral,Genuine,General Vaccination,English
School vaccination programs are essential for public health,positive,Trust,Genuine,General Vaccination,English
CoWIN app updated with new features for vaccine certificate download,neutral,Neutral,Genuine,General Vaccination,English
District health officer reviewed vaccination progress this week,neutral,Neutral,Genuine,General Vaccination,English
Government hospitals to stock new batch of vaccines from next week,neutral,Neutral,Genuine,Government policy,English
Vaccines save lives and protect our families from deadly diseases,positive,Happiness,Genuine,General Vaccination,English
AIIMS doctors recommend vaccination for all eligible individuals,positive,Happiness,Genuine,Healthcare trust,English
Vaccines are the greatest medical achievement of the 20th century,positive,Happiness,Genuine,General Vaccination,English
No proper follow-up system after vaccination for monitoring,negative,Anxiety,Genuine,General Vaccination,English
Two doses done! I can now breathe easier in crowded places,positive,Trust,Genuine,General Vaccination,English
Mobile vaccination units deployed in urban slums this week,neutral,Neutral,Genuine,General Vaccination,English
Booster dose important for elderly and immunocompromised people,positive,Trust,Genuine,Booster dose,English
Medical experts panel formed to study post-vaccination effects data,neutral,Neutral,Genuine,General Vaccination,English
Vaccine procurement committee meeting held by central government,neutral,Neutral,Genuine,Government policy,English
Children vaccines causing autism is a genuine concern for parents,negative,Anxiety,Fake,Conspiracy theories,English
The whole vaccine drive feels like a political gimmick to me,negative,Fear,Genuine,General Vaccination,English
Vaccination data privacy concerns are completely ignored by authorities,negative,Fear,Genuine,General Vaccination,English
Vaccination is the only way to achieve herd immunity in India,positive,Happiness,Genuine,General Vaccination,English
New vaccination center opened near railway station from Monday,neutral,Neutral,Genuine,General Vaccination,English
Vaccine cold chain management review conducted by ICMR team,neutral,Neutral,Genuine,General Vaccination,Code-mixed
Two doses done! I can now breathe easier in crowded places,positive,Happiness,Genuine,General Vaccination,English
Health worker training program for vaccine administration ongoing,neutral,Neutral,Genuine,General Vaccination,English
The whole vaccine drive feels like a political gimmick to me,negative,Anxiety,Genuine,General Vaccination,English
Government issued advisory on vaccine storage temperature requirements,neutral,Neutral,Genuine,Government policy,English
Rich countries hoarding vaccines while poor countries suffer,negative,Fear,Genuine,General Vaccination,English
Waste of vaccines due to poor storage management in many centers,negative,Fear,Genuine,General Vaccination,English
My elderly mother fainted at vaccination center due to heat,negative,Anger,Genuine,General Vaccination,English
India's vaccination rate has improved drastically this year,positive,Trust,Genuine,General Vaccination,English
Vaccination camps organized by RWA in our colony was very helpful,positive,Happiness,Genuine,General Vaccination,English
Vaccine certificate now linked with DigiLocker for easy access,neutral,Neutral,Genuine,General Vaccination,English
Vaccine certificate now linked with DigiLocker for easy access,neutral,Neutral,Genuine,General Vaccination,English
Waste of vaccines due to poor storage management in many centers,negative,Anxiety,Genuine,General Vaccination,English
Vaccination campaign coverage to be tracked using new digital tool,neutral,Neutral,Genuine,Awareness campaigns,English
My elderly mother fainted at vaccination center due to heat,negative,Anger,Genuine,General Vaccination,English
"Science has given us vaccines, let us use them wisely",positive,Trust,Genuine,General Vaccination,English
Health worker training program for vaccine administration ongoing,neutral,Neutral,Genuine,General Vaccination,English
HPV vaccine rollout for adolescent girls discussed in health meet,neutral,Neutral,Genuine,General Vaccination,English
Vaccine shortage in our district is creating panic and frustration,negative,Anger,Genuine,General Vaccination,English
Healthcare infrastructure for vaccine rollout is completely inadequate,negative,Anxiety,Genuine,Healthcare trust,English
Government hospitals to stock new batch of vaccines from next week,neutral,Neutral,Genuine,Government policy,English
Health ministry released new data on vaccine distribution numbers,neutral,Neutral,Genuine,General Vaccination,English
"Thanks to vaccination drive in India, polio is now eradicated",positive,Happiness,Genuine,General Vaccination,English
Vaccination is the only way to achieve herd immunity in India,positive,Trust,Genuine,General Vaccination,English
Quality control of vaccines in India needs much more scrutiny,negative,Anger,Genuine,General Vaccination,English
Booster dose important for elderly and immunocompromised people,positive,Trust,Genuine,Booster dose,English
Vaccine drives by Indian government are truly commendable,positive,Trust,Genuine,Government policy,English
"Heard so many bad stories about vaccine reactions, I am worried",negative,Anxiety,Misleading,Side effects,English
Waste of vaccines due to poor storage management in many centers,negative,Anxiety,Genuine,General Vaccination,English
Vaccination data privacy concerns are completely ignored by authorities,negative,Anxiety,Genuine,General Vaccination,English
Vaccine trial results to be published in medical journal next month,neutral,Neutral,Genuine,General Vaccination,English
"Proud Indian, got my jab today! Jai Bharat",positive,Trust,Genuine,General Vaccination,English
Why should I trust a vaccine made in just one year of research,negative,Anxiety,Genuine,General Vaccination,English
Doctors attending seminar on latest vaccine developments today,neutral,Neutral,Genuine,Healthcare trust,English
Health worker training program for vaccine administration ongoing,neutral,Neutral,Genuine,General Vaccination,English
Academic study on vaccine acceptance patterns among rural youth,neutral,Neutral,Genuine,General Vaccination,English
Vaccine procurement committee meeting held by central government,neutral,Neutral,Genuine,Government policy,English
Vaccine hesitancy is reducing gradually in Indian villages,positive,Happiness,Genuine,General Vaccination,English
District health officer reviewed vaccination progress this week,neutral,Neutral,Genuine,General Vaccination,English
Vaccine supply chain audit underway in northern states this month,neutral,Neutral,Genuine,General Vaccination,Code-mixed
"I am scared of vaccine side effects, what if something goes wrong",negative,Anxiety,Genuine,Side effects,English
No compensation system for vaccine injury victims in India,negative,Anger,Genuine,General Vaccination,English
Government data on vaccine side effects is not transparent enough,negative,Fear,Genuine,Side effects,English
New vaccine for rotavirus included in national immunization program,neutral,Neutral,Genuine,General Vaccination,English
Vaccine hesitancy is reducing gradually in Indian villages,positive,Trust,Genuine,General Vaccination,English
Vaccination data privacy concerns are completely ignored by authorities,negative,Fear,Genuine,General Vaccination,English
Annual immunization schedule released by health department today,neutral,Neutral,Genuine,General Vaccination,English
"My arm swelled badly after vaccination, doctor was not available",negative,Anxiety,Genuine,Healthcare trust,English
Free vaccination for BPL families is an excellent government step,positive,Trust,Genuine,Government policy,English
Rich countries hoarding vaccines while poor countries suffer,negative,Fear,Genuine,General Vaccination,English
Vaccination drive started in our district today as per schedule,neutral,Neutral,Genuine,General Vaccination,English
Trust deficit in government health programs is a real problem,negative,Anxiety,Genuine,Government policy,English
Parliamentary debate on national vaccine policy scheduled next week,neutral,Neutral,Genuine,Government policy,English
Vaccine trial results to be published in medical journal next month,neutral,Neutral,Genuine,General Vaccination,English
